Hinweise zur Aufgabe: Sortiert primär nach Redenanzahl, sekundär nach Redenlänge


TEIL 1: Nach Fraktionen:
Fraktion Deutsche Partei
    Florian Gerster, SPD (0 Reden, gesamt 0 Zeichen)
    Karl Delorme, SPD (0 Reden, gesamt 0 Zeichen)
    Friedrich Gerstl, SPD (0 Reden, gesamt 0 Zeichen)
    Karsten Schönfeld, SPD (0 Reden, gesamt 0 Zeichen)
    Hermann Barche, SPD (0 Reden, gesamt 0 Zeichen)
    Gerhard Bauer, SPD (0 Reden, gesamt 0 Zeichen)
    Ernst Küchler, SPD (0 Reden, gesamt 0 Zeichen)
    Jelena Hoffmann, SPD (0 Reden, gesamt 0 Zeichen)
    Josef Löbbert, SPD (0 Reden, gesamt 0 Zeichen)
    Dr. Hartmut Soell, SPD (0 Reden, gesamt 0 Zeichen)
    Dr. Karl-Heinz Stienen, SPD (0 Reden, gesamt 0 Zeichen)
    Renate Jäger, SPD (0 Reden, gesamt 0 Zeichen)
    Dr. Wenzel Jaksch, SPD (0 Reden, gesamt 0 Zeichen)
    Heinz Assmann, SPD (0 Reden, gesamt 0 Zeichen)
    Hans Hermsdorf, SPD (0 Reden, gesamt 0 Zeichen)
    Dieter Auch, SPD (0 Reden, gesamt 0 Zeichen)
    Ludwig Eich, SPD (0 Reden, gesamt 0 Zeichen)
    Rudolf Purps, SPD (0 Reden, gesamt 0 Zeichen)
    Wilderich Ostman von der Leye, SPD (0 Reden, gesamt 0 Zeichen)
    Daniela Kolbe, SPD (0 Reden, gesamt 0 Zeichen)
    Klaus Konrad, SPD (0 Reden, gesamt 0 Zeichen)
    Clemens Bollen, SPD (0 Reden, gesamt 0 Zeichen)
    Max Wönner, SPD (0 Reden, gesamt 0 Zeichen)
    Emil Bettgenhäuser, SPD (0 Reden, gesamt 0 Zeichen)
    Dr. Hans-Jochen Vogel, SPD (0 Reden, gesamt 0 Zeichen)
    Herbert Baack, SPD (0 Reden, gesamt 0 Zeichen)
    Alwin Brück, SPD (0 Reden, gesamt 0 Zeichen)
    Kurt Bodewig, SPD (0 Reden, gesamt 0 Zeichen)
    Thea Bock, SPD (0 Reden, gesamt 0 Zeichen)
    Dr. Olaf Schwencke, SPD (0 Reden, gesamt 0 Zeichen)
    Wolfgang Ilte, SPD (0 Reden, gesamt 0 Zeichen)
    Dr. Birgit Malecha-Nissen, SPD (0 Reden, gesamt 0 Zeichen)
    Dr. Herbert Ehrenberg, SPD (0 Reden, gesamt 0 Zeichen)
    Dr. Heike Niggemeyer, SPD (0 Reden, gesamt 0 Zeichen)
    Petra Bierwirth, SPD (0 Reden, gesamt 0 Zeichen)
    Johannes Jung, SPD (0 Reden, gesamt 0 Zeichen)
    Martin Rabanus, SPD (0 Reden, gesamt 0 Zeichen)
    Karl Bergmann, SPD (0 Reden, gesamt 0 Zeichen)
    Gerhard Neumann, SPD (0 Reden, gesamt 0 Zeichen)
    Elvira Drobinski-Weiß, SPD (0 Reden, gesamt 0 Zeichen)
    Reinhold Strobl, SPD (0 Reden, gesamt 0 Zeichen)
    Dr. Peter Glotz, SPD (0 Reden, gesamt 0 Zeichen)
    Erwin Welke, SPD (0 Reden, gesamt 0 Zeichen)
    Hans Bay, SPD (0 Reden, gesamt 0 Zeichen)
    Günter Pauli, SPD (0 Reden, gesamt 0 Zeichen)
    Dr. Frolinde Balser, SPD (0 Reden, gesamt 0 Zeichen)
    Detlev Pilger, SPD (0 Reden, gesamt 0 Zeichen)
    Ernst Haar, SPD (0 Reden, gesamt 0 Zeichen)
    Hermann Scheffler, SPD (0 Reden, gesamt 0 Zeichen)
    Rudolf Hussong, SPD (0 Reden, gesamt 0 Zeichen)
    Hans Koschnick, SPD (0 Reden, gesamt 0 Zeichen)
    Barbara Wittig, SPD (0 Reden, gesamt 0 Zeichen)
    Bruno Leddin, SPD (0 Reden, gesamt 0 Zeichen)
    Richard Reitzner, SPD (0 Reden, gesamt 0 Zeichen)
    Hans Georg Wagner, SPD (0 Reden, gesamt 0 Zeichen)
    Manfred Nink, SPD (0 Reden, gesamt 0 Zeichen)
    Hermann Wimmer, SPD (0 Reden, gesamt 0 Zeichen)
    Wilhelm Maibaum, SPD (0 Reden, gesamt 0 Zeichen)
    Bruno Wiefel, SPD (0 Reden, gesamt 0 Zeichen)
    Angelika Krüger-Leißner, SPD (0 Reden, gesamt 0 Zeichen)
    Volker Blumentritt, SPD (0 Reden, gesamt 0 Zeichen)
