Document{{_id=11004815, Redenanzahl=27, Vorname=Till, Nachname=Mansmann, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11005232, Redenanzahl=27, Vorname=Klaus, Nachname=Stöber, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11005103, Redenanzahl=27, Vorname=Franziska, Nachname=Kersten, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11003753, Redenanzahl=27, Vorname=Klaus, Nachname=Ernst, Partei=DIE LINKE., Fraktion=Fraktion DIE LINKE.}}
Document{{_id=11004779, Redenanzahl=27, Vorname=Michael, Nachname=Kießling, Partei=CSU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005089, Redenanzahl=27, Vorname=Verena, Nachname=Hubertz, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004674, Redenanzahl=27, Vorname=Andreas, Nachname=Bleck, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11003746, Redenanzahl=27, Vorname=Sevim, Nachname=Dağdelen, Partei=DIE LINKE., Fraktion=Fraktion DIE LINKE.}}
Document{{_id=11002735, Redenanzahl=27, Vorname=Friedrich, Nachname=Merz, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005151, Redenanzahl=27, Vorname=Robin, Nachname=Mesarosch, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004711, Redenanzahl=27, Vorname=Michael, Nachname=Espendiller, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11004787, Redenanzahl=27, Vorname=Enrico, Nachname=Komning, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11004697, Redenanzahl=27, Vorname=Carl-Julius, Nachname=Cronenberg, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11004159, Redenanzahl=27, Vorname=Judith, Nachname=Skudelny, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11004768, Redenanzahl=27, Vorname=Marc, Nachname=Jongen, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11003516, Redenanzahl=26, Vorname=Alexander, Nachname=Dobrindt, Partei=CSU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004858, Redenanzahl=26, Vorname=Stephan, Nachname=Protschka, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11004767, Redenanzahl=26, Vorname=Fabian, Nachname=Jacobi, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11005215, Redenanzahl=26, Vorname=Ria, Nachname=Schröder, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11005132, Redenanzahl=26, Vorname=Helge, Nachname=Limburg, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11004442, Redenanzahl=26, Vorname=Bernd, Nachname=Westphal, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005220, Redenanzahl=26, Vorname=Stephan, Nachname=Seiter, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11005021, Redenanzahl=26, Vorname=Holger, Nachname=Becker, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004757, Redenanzahl=26, Vorname=Christoph, Nachname=Hoffmann, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11005142, Redenanzahl=26, Vorname=Zanda, Nachname=Martens, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
